,title,price,sold,result,end_date,end_time,link
37,1922 Liberty St Gaudens Twenty Dollar Gold Coin In Mint Condition,"$1,899.99",Sold,"Sold  Dec 28, 2018",Dec-28,22:58,https://www.ebay.com/itm/1922-Liberty-St-Gaudens-Twenty-Dollar-Gold-Coin-In-Mint-Condition/254043780182?hash=item3b26307456%3Ag%3AwikAAOSwQXlcJv4Q&LH_BIN=1
38,1922   NGC MS 63 $20  St Gaudens Gold Double Eagle,"$1,415.00",Sold,"Sold  Dec 27, 2018",Dec-27,23:35,https://www.ebay.com/itm/1922-NGC-MS-63-20-St-Gaudens-Gold-Double-Eagle/143044899326?hash=item214e23f1fe%3Ag%3A%7EOsAAOSw175cDFMS&LH_BIN=1
39,"1922 SAINT GAUDENS $20 Double Eagle Gold Coin, US Mint. Augustus St. Gaudens","$1,329.00",Sold,"Sold  Dec 27, 2018",Dec-27,14:40,https://www.ebay.com/itm/1922-SAINT-GAUDENS-20-Double-Eagle-Gold-Coin-US-Mint-Augustus-St-Gaudens/153309264364?hash=item23b1f1b9ec%3Ag%3A1bEAAOSw%7EVBcGmyN&LH_BIN=1
40,1922 $20 Saint Gaudens #939066-11 MS64 Secure Plus PCGS ,"$1,575.00",Sold,"Sold  Dec 24, 2018",Dec-24,11:18,https://www.ebay.com/itm/1922-20-Saint-Gaudens-939066-11-MS64-Secure-Plus-PCGS/202519646380?hash=item2f271c90ac%3Ag%3AmMEAAOSwzGBcAGdh&LH_BIN=1
41,1922 $20 NGC MS 64 Gold St. Gaudens Double Eagle Better Date Twenty Dollar Saint,"$1,490.00",Sold,"Sold  Dec 24, 2018",Dec-24,09:16,https://www.ebay.com/itm/1922-20-NGC-MS-64-Gold-St-Gaudens-Double-Eagle-Better-Date-Twenty-Dollar-Saint/153278541713?hash=item23b01cef91%3Ag%3AcBEAAOSwcapb%7EAwH&LH_BIN=1
42,"1922 SAINT GAUDENS $20 Double Eagle Gold Coin, US Mint. Augustus St. Gaudens","$1,329.00",Sold,"Sold  Dec 18, 2018",Dec-18,07:20,https://www.ebay.com/itm/1922-SAINT-GAUDENS-20-Double-Eagle-Gold-Coin-US-Mint-Augustus-St-Gaudens/173687803632?hash=item2870998ef0%3Ag%3AT9UAAOSwGBRcEzOk&LH_BIN=1
43,1922 $20 Saint Double Eagle PCGS graded MS63 524 super nice!,"$1,370.00",Sold,"Sold  Dec 18, 2018",Dec-18,03:32,https://www.ebay.com/itm/1922-20-Saint-Double-Eagle-PCGS-graded-MS63-524-super-nice/132865902784?hash=item1eef6cc8c0%3Ag%3AoyoAAOSwlelcF%7ExO&LH_BIN=1
44,1922 S  20 Dollar Gold Coin   UNC,"$2,400.00",Sold,"Sold  Dec 16, 2018",Dec-16,18:05,https://www.ebay.com/itm/1922-S-20-Dollar-Gold-Coin-UNC/264090841215?hash=item3d7d0a707f%3Ag%3AG4EAAOSwdrdcE-VM&LH_BIN=1
45,1922 $20 NGC MS 64 Gold St. Gaudens Double Eagle Better Date Twenty Dollar Saint,"$1,485.00",Sold,"Sold  Dec 11, 2018",Dec-11,16:35,https://www.ebay.com/itm/1922-20-NGC-MS-64-Gold-St-Gaudens-Double-Eagle-Better-Date-Twenty-Dollar-Saint/123539551634?hash=item1cc387f592%3Ag%3AtC4AAOSwNYtcEC02&LH_BIN=1
46,1922 st gaudens Saint US Gold Coin $20 Double Eagle,"$1,395.00",Sold,"Sold  Dec 8, 2018",Dec-8 ,2:35,https://www.ebay.com/itm/1922-st-gaudens-Saint-US-Gold-Coin-20-Double-Eagle/143042351885?hash=item214dfd130d%3Ag%3AiRUAAOSwzTFcCZ40&LH_BIN=1
47,1922 20 DOLLAR STAINT GAUDENS GOLD COIN IN uncirculated CONDITION,"$1,360.00",Sold,"Sold  Dec 1, 2018",Dec-1 ,4:57,https://www.ebay.com/itm/1922-20-DOLLAR-STAINT-GAUDENS-GOLD-COIN-IN-uncirculated-CONDITION/401611523300?hash=item5d81e984e4%3Ag%3AUQ4AAOSwHb9btnCO&LH_BIN=1
48,1922-S $20 PCGS MS64+ - Scarce Date - Saint Gaudens Double Eagle - Gold Coin,"$6,780.00",Sold,"Sold  Nov 26, 2018",Nov-26,05:16,https://www.ebay.com/itm/1922-S-20-PCGS-MS64-Scarce-Date-Saint-Gaudens-Double-Eagle-Gold-Coin/202507247846?hash=item2f265f60e6%3Ag%3AolgAAOSwtaBb8LKv&LH_BIN=1
49,1922 Double Eagle Gold COin,"$1,310.00",Sold,"Sold  Nov 24, 2018",Nov-24,07:31,https://www.ebay.com/itm/1922-Double-Eagle-Gold-COin/253996113272?hash=item3b23591d78%3Ag%3ALqwAAOSw7rlb6zWT&LH_BIN=1
50,1922 $20 Saint Gaudens #939066-10 MS64 Secure Plus PCGS ,"$1,540.00",Ended,"Ended  Feb 5, 2019",Feb-5 ,3:06,https://www.ebay.com/itm/1922-20-Saint-Gaudens-939066-10-MS64-Secure-Plus-PCGS/312345099879?hash=item48b937fe67%3Ag%3AHnIAAOSwdrdcAGdp&LH_BIN=2
51,1922 $20 Saint Gaudens #937649-5 MS64+ PCGS ,"$1,895.00",Ended,"Ended  Feb 5, 2019",Feb-5 ,3:06,https://www.ebay.com/itm/1922-20-Saint-Gaudens-937649-5-MS64-PCGS/192657723370?hash=item2cdb4b8fea%3Ag%3A4vwAAOSw%7EkVbm7%7Ez&LH_BIN=2
52,1922 $20 Saint Gaudens #937729-8 MS64+ NGC ,"$1,895.00",Ended,"Ended  Feb 5, 2019",Feb-5 ,3:05,https://www.ebay.com/itm/1922-20-Saint-Gaudens-937729-8-MS64-NGC/312024648230?hash=item48a61e4a26%3Ag%3AmDIAAOSwUYNaMrdx&LH_BIN=2
53,1922 P $20.00 ST.GAUDENS W/MOTTO - - --1 DAY ONLY,"$1,326.22",Sold,"Sold  Feb 5, 2019",Feb-5 ,1:44,https://www.ebay.com/itm/1922-P-20-00-ST-GAUDENS-W-MOTTO-1-DAY-ONLY/264180363088?hash=item3d82606f50%3Ag%3AZSQAAOSwIqxcWJWq&LH_BIN=2
